PEOPLE_POSITIVE_CASES_COUNT,REPORT_DATE,CONTINENT_NAME,COUNTRY_SHORT_NAME,PEOPLE_DEATH_COUNT
22783,9/18/2020,Asia,South Korea,377
24889,10/14/2020,Asia,South Korea,438
10062,4/3/2020,Asia,South Korea,174
11852,6/9/2020,Asia,South Korea,274
14269,7/30/2020,Asia,South Korea,300
14562,8/8/2020,Asia,South Korea,304
1146,2/26/2020,Asia,South Korea,11
15761,8/18/2020,Asia,South Korea,306
10450,4/10/2020,Asia,South Korea,208
10780,5/2/2020,Asia,South Korea,250
304,10/8/2020,Asia,Bhutan,0
316,10/17/2020,Asia,Bhutan,0
7,5/8/2020,Asia,Bhutan,0
90,7/21/2020,Asia,Bhutan,0
0,1/4/2020,Asia,Bhutan,0
45277,9/6/2020,Asia,Nepal,280
36456,8/29/2020,Asia,Nepal,195
94253,10/8/2020,Asia,Nepal,578
73394,9/28/2020,Asia,Nepal,477
21390,8/6/2020,Asia,Nepal,60
23948,8/12/2020,Asia,Nepal,83
2912,6/6/2020,Asia,Nepal,11
22214,8/8/2020,Asia,Nepal,70
0,3/2/2020,Asia,Bhutan,0
74745,9/29/2020,Asia,Nepal,481
19273,7/30/2020,Asia,Nepal,49
1400,4/15/2020,Asia,Iraq,78
41193,6/27/2020,Asia,Iraq,1559
5135,5/28/2020,Asia,Iraq,175
1763,4/26/2020,Asia,Iraq,86
0,2/10/2020,Asia,Iraq,0
0,2/24/2020,Asia,Iraq,0
360,8/12/2020,Asia,Myanmar,6
346,7/25/2020,Asia,Myanmar,6
146,4/26/2020,Asia,Myanmar,5
341,7/20/2020,Asia,Myanmar,6
586,8/27/2020,Asia,Myanmar,6
201,5/24/2020,Asia,Myanmar,6
286,6/20/2020,Asia,Myanmar,6
0,2/28/2020,Asia,Myanmar,0
0,2/10/2020,Asia,Myanmar,0
0,3/13/2020,Asia,Myanmar,0
0,1/30/2020,Asia,Myanmar,0
0,1/29/2020,Asia,Myanmar,0
0,1/31/2020,Asia,Myanmar,0
0,1/19/2020,Asia,Myanmar,0
274,9/6/2020,Asia,Cambodia,0
275,9/13/2020,Asia,Cambodia,0
283,10/12/2020,Asia,Cambodia,0
274,9/3/2020,Asia,Cambodia,0
283,10/10/2020,Asia,Cambodia,0
125,6/2/2020,Asia,Cambodia,0
130,6/24/2020,Asia,Cambodia,0
103,3/29/2020,Asia,Cambodia,0
273,8/27/2020,Asia,Cambodia,0
96,3/26/2020,Asia,Cambodia,0
122,5/11/2020,Asia,Cambodia,0
273,8/23/2020,Asia,Cambodia,0
