COUNTRY_SHORT_NAME,REPORT_DATE,,,PEOPLE_POSITIVE_NEW_CASES_COUNT,PEOPLE_DEATH_COUNT,PEOPLE_POSITIVE_CASES_COUNT,PEOPLE_DEATH_NEW_COUNT
Wallis and Futuna,1/1/2020,,,0,,,0
Papua New Guinea,1/1/2020,,,0,0,0,0
French Polynesia,1/1/2020,,,0,0,0,0
Marshall Islands,1/1/2020,,,0,0,0,0
Fiji,1/1/2020,,,0,0,0,0
New Zealand,1/1/2020,,,0,0,0,0
Australia,1/1/2020,,,0,0,0,0
New Caledonia,1/1/2020,,,0,0,0,0
Solomon Islands,1/1/2020,,,0,0,0,0
Fiji,1/2/2020,,,0,0,0,0
Australia,1/2/2020,,,0,0,0,0
New Caledonia,1/2/2020,,,0,0,0,0
Papua New Guinea,1/2/2020,,,0,0,0,0
French Polynesia,1/2/2020,,,0,0,0,0
Solomon Islands,1/2/2020,,,0,0,0,0
New Zealand,1/2/2020,,,0,0,0,0
Wallis and Futuna,1/2/2020,,,0,,,0
Marshall Islands,1/2/2020,,,0,0,0,0
Wallis and Futuna,1/3/2020,,,0,,,0
Australia,1/3/2020,,,0,0,0,0
Fiji,1/3/2020,,,0,0,0,0
Marshall Islands,1/3/2020,,,0,0,0,0
Papua New Guinea,1/3/2020,,,0,0,0,0
French Polynesia,1/3/2020,,,0,0,0,0
New Caledonia,1/3/2020,,,0,0,0,0
New Zealand,1/3/2020,,,0,0,0,0
Solomon Islands,1/3/2020,,,0,0,0,0
Marshall Islands,1/4/2020,,,0,0,0,0
New Zealand,1/4/2020,,,0,0,0,0
French Polynesia,1/4/2020,,,0,0,0,0
Solomon Islands,1/4/2020,,,0,0,0,0
New Caledonia,1/4/2020,,,0,0,0,0
Australia,1/4/2020,,,0,0,0,0
Fiji,1/4/2020,,,0,0,0,0
Wallis and Futuna,1/4/2020,,,0,,,0
Papua New Guinea,1/4/2020,,,0,0,0,0
Marshall Islands,1/5/2020,,,0,0,0,0
New Caledonia,1/5/2020,,,0,0,0,0
Solomon Islands,1/5/2020,,,0,0,0,0
New Zealand,1/5/2020,,,0,0,0,0
Papua New Guinea,1/5/2020,,,0,0,0,0
French Polynesia,1/5/2020,,,0,0,0,0
Fiji,1/5/2020,,,0,0,0,0
Wallis and Futuna,1/5/2020,,,0,,,0
Australia,1/5/2020,,,0,0,0,0
Marshall Islands,1/6/2020,,,0,0,0,0
New Zealand,1/6/2020,,,0,0,0,0
French Polynesia,1/6/2020,,,0,0,0,0
Papua New Guinea,1/6/2020,,,0,0,0,0
Fiji,1/6/2020,,,0,0,0,0
Australia,1/6/2020,,,0,0,0,0
Wallis and Futuna,1/6/2020,,,0,,,0
Solomon Islands,1/6/2020,,,0,0,0,0
New Caledonia,1/6/2020,,,0,0,0,0
Marshall Islands,1/7/2020,,,0,0,0,0
Fiji,1/7/2020,,,0,0,0,0
New Caledonia,1/7/2020,,,0,0,0,0
New Zealand,1/7/2020,,,0,0,0,0
French Polynesia,1/7/2020,,,0,0,0,0
Australia,1/7/2020,,,0,0,0,0
Papua New Guinea,1/7/2020,,,0,0,0,0
Solomon Islands,1/7/2020,,,0,0,0,0
Wallis and Futuna,1/7/2020,,,0,,,0
Wallis and Futuna,1/8/2020,,,0,,,0
Australia,1/8/2020,,,0,0,0,0
Fiji,1/8/2020,,,0,0,0,0
Solomon Islands,1/8/2020,,,0,0,0,0
French Polynesia,1/8/2020,,,0,0,0,0
New Zealand,1/8/2020,,,0,0,0,0
Marshall Islands,1/8/2020,,,0,0,0,0
Papua New Guinea,1/8/2020,,,0,0,0,0
New Caledonia,1/8/2020,,,0,0,0,0
Papua New Guinea,1/9/2020,,,0,0,0,0
Solomon Islands,1/9/2020,,,0,0,0,0
Australia,1/9/2020,,,0,0,0,0
French Polynesia,1/9/2020,,,0,0,0,0
New Zealand,1/9/2020,,,0,0,0,0
Wallis and Futuna,1/9/2020,,,0,,,0
New Caledonia,1/9/2020,,,0,0,0,0
Marshall Islands,1/9/2020,,,0,0,0,0
Fiji,1/9/2020,,,0,0,0,0
New Caledonia,1/10/2020,,,0,0,0,0
French Polynesia,1/10/2020,,,0,0,0,0
New Zealand,1/10/2020,,,0,0,0,0
Wallis and Futuna,1/10/2020,,,0,,,0
Marshall Islands,1/10/2020,,,0,0,0,0
Fiji,1/10/2020,,,0,0,0,0
Solomon Islands,1/10/2020,,,0,0,0,0
