Positive Cases,Reported Date,Country Name,Death Count
10062,4/3/2020,South Korea,174
1146,2/26/2020,South Korea,11
10450,4/10/2020,South Korea,208
10780,5/2/2020,South Korea,250
7,5/8/2020,Bhutan,0
0,1/4/2020,Bhutan,0
0,3/2/2020,Bhutan,0
1400,4/15/2020,Iraq,78
5135,5/28/2020,Iraq,175
1763,4/26/2020,Iraq,86
0,2/10/2020,Iraq,0
0,2/24/2020,Iraq,0
146,4/26/2020,Myanmar,5
201,5/24/2020,Myanmar,6
0,2/28/2020,Myanmar,0
0,2/10/2020,Myanmar,0
0,3/13/2020,Myanmar,0
0,1/30/2020,Myanmar,0
0,1/29/2020,Myanmar,0
0,1/31/2020,Myanmar,0
0,1/19/2020,Myanmar,0
103,3/29/2020,Cambodia,0
96,3/26/2020,Cambodia,0
122,5/11/2020,Cambodia,0
122,4/16/2020,Cambodia,0
1,2/8/2020,Cambodia,0
122,4/15/2020,Cambodia,0
6981,4/24/2020,Philippines,462
380,3/23/2020,Philippines,25
3,2/25/2020,Philippines,1
3870,4/9/2020,Philippines,182
12513,5/18/2020,Philippines,824
0,1/23/2020,Philippines,0
0,1/10/2020,Philippines,0
148,5/27/2020,Mongolia,0
36,4/25/2020,Mongolia,0
140,5/20/2020,Mongolia,0
1,3/12/2020,Mongolia,0
0,3/1/2020,Mongolia,0
0,1/18/2020,Mongolia,0
70029,4/12/2020,Iran,4357
114533,5/15/2020,Iran,6854
76389,4/16/2020,Iran,4777
24,3/22/2020,Afghanistan,0
1949,4/30/2020,Afghanistan,60
22,3/20/2020,Afghanistan,0
2335,5/2/2020,Afghanistan,68
0,2/11/2020,Afghanistan,0
0,1/20/2020,Afghanistan,0
0,1/22/2020,Afghanistan,0
0,1/11/2020,Afghanistan,0
65111,4/15/2020,Turkey,1403
0,1/6/2020,Turkey,0
0,1/11/2020,Turkey,0
58,5/21/2020,Syria,3
0,3/20/2020,Syria,0
19,4/9/2020,Syria,2
0,2/22/2020,Kuwait,0
479,4/5/2020,Kuwait,1
33,3/21/2020,Uzbekistan,0
1495,4/19/2020,Uzbekistan,5
2509,5/12/2020,Uzbekistan,10
2189,5/5/2020,Uzbekistan,10
0,3/3/2020,Uzbekistan,0
0,2/6/2020,Uzbekistan,0
16793,5/9/2020,United Arab Emirates,174
5,2/3/2020,United Arab Emirates,0
11929,4/30/2020,United Arab Emirates,98
14265,5/12/2020,Indonesia,991
2956,4/9/2020,Indonesia,240
0,2/9/2020,Indonesia,0
0,1/10/2020,Indonesia,0
0,1/13/2020,Indonesia,0
240,4/4/2020,Vietnam,0
288,5/9/2020,Vietnam,0
324,5/19/2020,Vietnam,0
0,1/14/2020,Vietnam,0
10484,4/21/2020,Saudi Arabia,103
3651,4/11/2020,Saudi Arabia,47
0,1/31/2020,Saudi Arabia,0
9633,5/28/2020,Bahrain,15
458,3/27/2020,Bahrain,4
7184,5/19/2020,Bahrain,12
47,3/3/2020,Bahrain,0
0,1/24/2020,Bahrain,0
125,4/3/2020,Kyrgyzstan,1
769,5/2/2020,Kyrgyzstan,8
0,1/27/2020,Kyrgyzstan,0
0,1/8/2020,Kyrgyzstan,0
0,1/13/2020,Kyrgyzstan,0
2,4/12/2020,Timor Leste,0
24,5/15/2020,Timor Leste,0
0,3/5/2020,Timor Leste,0
0,3/1/2020,Timor Leste,0
0,3/17/2020,Timor Leste,0
0,1/17/2020,Timor Leste,0
0,1/2/2020,Timor Leste,0
0,4/19/2020,Tajikistan,0
0,4/7/2020,Tajikistan,0
0,2/16/2020,Tajikistan,0
17548,5/3/2020,Singapore,17
27356,5/17/2020,Singapore,22
5050,4/18/2020,Singapore,11
102,3/1/2020,Singapore,0
89,2/24/2020,Singapore,0
594,3/27/2020,Singapore,2
24,2/5/2020,Singapore,0
0,1/16/2020,Singapore,0
51,4/1/2020,Bangladesh,5
5,3/17/2020,Bangladesh,0
173763,5/30/2020,India,4971
67152,5/11/2020,India,2206
14378,4/18/2020,India,480
85940,5/16/2020,India,2752
3,2/29/2020,India,0
3,2/5/2020,India,0
712,3/21/2020,Israel,1
4247,3/30/2020,Israel,15
0,2/6/2020,Israel,0
6794,5/23/2020,Oman,32
6,3/2/2020,Oman,0
2131,4/29/2020,Oman,10
99,3/26/2020,Oman,0
0,1/30/2020,Oman,0
0,1/28/2020,Oman,0
0,2/4/2020,Oman,0
166,4/6/2020,Sri Lanka,5
115,3/29/2020,Sri Lanka,1
869,5/12/2020,Sri Lanka,9
1,2/24/2020,Sri Lanka,0
0,1/10/2020,Sri Lanka,0
27474,5/9/2020,Pakistan,618
3864,4/7/2020,Pakistan,54
64028,5/29/2020,Pakistan,1317
887,3/24/2020,Pakistan,6
0,2/16/2020,Pakistan,0
0,1/28/2020,Pakistan,0
0,2/3/2020,Pakistan,0
1172,5/30/2020,Lebanon,26
891,5/16/2020,Lebanon,26
737,5/4/2020,Lebanon,25
13,3/5/2020,Lebanon,0
0,2/6/2020,Lebanon,0
0,1/25/2020,Lebanon,0
0,2/12/2020,Oman,0
35606,5/20/2020,Qatar,15
494,3/23/2020,Qatar,0
34,5/10/2020,Yemen,7
0,2/10/2020,Yemen,0
82295,4/1/2020,China,3310
84063,5/19/2020,China,4638
83968,5/6/2020,China,4637
80134,3/2/2020,China,2914
78598,2/27/2020,China,2746
77016,2/23/2020,China,2445
31207,2/7/2020,China,637
16424,5/21/2020,Japan,777
3906,4/7/2020,Japan,80
239,3/1/2020,Japan,5
29,2/13/2020,Japan,1
1,1/23/2020,Japan,0
0,1/1/2020,Japan,0
548,5/14/2020,Palestine,4
554,5/17/2020,Palestine,4
613,5/28/2020,Palestine,5
547,5/8/2020,Palestine,4
0,3/3/2020,Palestine,0
7,3/6/2020,Palestine,0
133,4/4/2020,Brunei Darussalam,1
141,5/18/2020,Brunei Darussalam,1
11,3/12/2020,Brunei Darussalam,0
0,2/23/2020,Brunei Darussalam,0
459,5/2/2020,Jordan,8
471,5/6/2020,Jordan,9
1,3/8/2020,Jordan,0
0,1/9/2020,Jordan,0
0,1/7/2020,Jordan,0
69,4/21/2020,Maldives,0
13,3/18/2020,Maldives,0
0,1/16/2020,Maldives,0
802,4/10/2020,Kazakhstan,9
193,3/28/2020,Kazakhstan,0
704,4/8/2020,Kazakhstan,6
0,2/28/2020,Kazakhstan,0
0,3/6/2020,Kazakhstan,0
4690,5/8/2020,Kazakhstan,31
10,4/3/2020,Laos,0
19,4/13/2020,Laos,0
19,4/24/2020,Laos,0
19,4/15/2020,Laos,0
19,4/22/2020,Laos,0
19,5/25/2020,Laos,0
19,5/19/2020,Laos,0
0,2/27/2020,Laos,0
0,3/16/2020,Laos,0
0,1/2/2020,Laos,0
2954,4/30/2020,Thailand,54
3963,4/8/2020,Malaysia,63
5945,4/30/2020,Malaysia,100
3793,4/7/2020,Malaysia,62
6941,5/19/2020,Malaysia,113
6002,5/1/2020,Malaysia,102
22,2/26/2020,Malaysia,0
149,3/12/2020,Malaysia,0
16,2/7/2020,Taiwan,0
8,1/30/2020,Taiwan,0
11,2/5/2020,Taiwan,0
28,2/12/2020,South Korea,0
16,2/4/2020,South Korea,0
5,4/6/2020,Bhutan,0
0,2/7/2020,Bhutan,0
43,5/31/2020,Bhutan,0
1,3/15/2020,Bhutan,0
0,1/28/2020,Bhutan,0
5,4/3/2020,Nepal,0
487,5/22/2020,Nepal,3
0,1/22/2020,Nepal,0
0,2/4/2020,Iraq,0
2003,4/30/2020,Iraq,92
3018,4/4/2020,Philippines,136
52,3/13/2020,Philippines,2
33,3/11/2020,Philippines,1
64,3/14/2020,Philippines,6
3,2/10/2020,Philippines,1
31,4/19/2020,Mongolia,0
42,5/8/2020,Mongolia,0
0,1/29/2020,Mongolia,0
0,1/5/2020,Mongolia,0
0,2/12/2020,Iran,0
0,2/6/2020,Iran,0
0,1/14/2020,Iran,0
203,5/26/2020,Myanmar,6
0,3/20/2020,Myanmar,0
62,4/14/2020,Myanmar,4
199,5/22/2020,Myanmar,6
0,3/17/2020,Myanmar,0
0,2/11/2020,Myanmar,0
24,3/17/2020,Cambodia,0
119,4/10/2020,Cambodia,0
47,5/11/2020,Syria,3
48,5/15/2020,Syria,3
43,4/28/2020,Syria,3
0,3/14/2020,Syria,0
0,2/13/2020,Syria,0
0,1/15/2020,Syria,0
0,1/6/2020,Syria,0
17568,5/21/2020,Kuwait,124
4983,5/4/2020,Kuwait,38
0,2/2/2020,Kuwait,0
1355,4/15/2020,Kuwait,3
3224,5/6/2020,Afghanistan,95
0,1/28/2020,Afghanistan,0
0,1/23/2020,Afghanistan,0
0,1/6/2020,Afghanistan,0
131744,5/7/2020,Turkey,3584
101790,4/24/2020,Turkey,2491
112261,4/28/2020,Turkey,2900
0,1/25/2020,Turkey,0
0,1/21/2020,Turkey,0
26004,5/21/2020,United Arab Emirates,233
6943,4/20/2020,United Arab Emirates,41
8,2/13/2020,United Arab Emirates,0
13,2/25/2020,United Arab Emirates,0
29,3/7/2020,United Arab Emirates,0
0,1/26/2020,United Arab Emirates,0
5,2/4/2020,United Arab Emirates,0
0,1/4/2020,United Arab Emirates,0
187,4/2/2020,Uzbekistan,2
397,4/7/2020,Uzbekistan,2
2691,5/16/2020,Uzbekistan,11
0,2/25/2020,Uzbekistan,0
0,2/20/2020,Uzbekistan,0
17522,4/27/2020,Saudi Arabia,139
1885,4/4/2020,Saudi Arabia,21
0,2/19/2020,Saudi Arabia,0
0,2/17/2020,Saudi Arabia,0
0,1/1/2020,Saudi Arabia,0
0,2/27/2020,Indonesia,0
264,4/13/2020,Vietnam,0
324,5/21/2020,Vietnam,0
95,3/22/2020,Vietnam,0
327,5/28/2020,Vietnam,0
268,4/22/2020,Vietnam,0
68,3/18/2020,Vietnam,0
2,1/26/2020,Vietnam,0
0,1/16/2020,Vietnam,0
1040,4/12/2020,Bahrain,6
1361,4/14/2020,Bahrain,7
0,1/25/2020,Bahrain,0
0,1/26/2020,Bahrain,0
0,3/14/2020,Kyrgyzstan,0
0,3/10/2020,Kyrgyzstan,0
0,3/8/2020,Timor Leste,0
0,2/26/2020,Timor Leste,0
0,2/13/2020,Timor Leste,0
0,1/30/2020,Timor Leste,0
0,4/24/2020,Tajikistan,0
0,3/13/2020,Tajikistan,0
0,2/24/2020,Tajikistan,0
0,2/19/2020,Tajikistan,0
0,1/13/2020,Tajikistan,0
15641,4/30/2020,Singapore,14
14423,4/28/2020,Singapore,14
81,2/19/2020,Singapore,0
45,2/11/2020,Singapore,0
0,1/10/2020,Singapore,0
0,1/11/2020,Singapore,0
56,4/3/2020,Bangladesh,6
4186,4/24/2020,Bangladesh,127
0,3/3/2020,Bangladesh,0
3,3/13/2020,Bangladesh,0
0,2/18/2020,Bangladesh,0
562,3/25/2020,India,9
27892,4/27/2020,India,872
112359,5/21/2020,India,3435
31,3/7/2020,India,0
3,2/8/2020,India,0
0,1/29/2020,India,0
0,1/20/2020,India,0
0,1/12/2020,India,0
0,1/7/2020,India,0
0,1/3/2020,India,0
96,3/13/2020,Israel,0
0,2/1/2020,Israel,0
0,1/15/2020,Israel,0
0,1/3/2020,Israel,0
52,3/22/2020,Oman,0
3574,5/12/2020,Oman,17
7,3/4/2020,Oman,0
106,3/28/2020,Sri Lanka,0
143,4/2/2020,Sri Lanka,2
1469,5/28/2020,Sri Lanka,10
420,4/25/2020,Sri Lanka,7
992,5/19/2020,Sri Lanka,9
1,2/11/2020,Sri Lanka,0
4,3/3/2020,Pakistan,0
21,3/13/2020,Pakistan,0
0,2/25/2020,Pakistan,0
0,1/31/2020,Pakistan,0
954,5/20/2020,Lebanon,26
230,3/22/2020,Lebanon,4
796,5/9/2020,Lebanon,26
1097,5/24/2020,Lebanon,26
859,5/12/2020,Lebanon,26
1,2/26/2020,Lebanon,0
0,2/16/2020,Lebanon,0
562,3/28/2020,Qatar,0
4103,4/17/2020,Qatar,7
14096,5/2/2020,Qatar,12
12,3/8/2020,Qatar,0
262,3/13/2020,Qatar,0
0,1/4/2020,Qatar,0
0,3/25/2020,Yemen,0
1,4/26/2020,Yemen,0
0,3/1/2020,Yemen,0
0,2/22/2020,Yemen,0
0,2/6/2020,Yemen,0
0,1/25/2020,Yemen,0
83754,4/17/2020,China,4636
81484,3/23/2020,China,3274
59,1/16/2020,China,2
1693,3/29/2020,Japan,52
14088,4/30/2020,Japan,415
14281,5/1/2020,Japan,432
335,4/23/2020,Palestine,2
329,4/21/2020,Palestine,2
291,4/16/2020,Palestine,2
0,3/5/2020,Palestine,0
0,1/20/2020,Palestine,0
0,1/4/2020,Palestine,0
