PEOPLE_POSITIVE_CASES_COUNT,REPORT_DATE,CONTINENT_NAME,COUNTRY_ALPHA_3_CODE,COUNTRY_SHORT_NAME,Month
10977,10/31/2020,Asia,TJK,Tajikistan,October
125337,10/31/2020,Asia,KWT,Kuwait,October
114434,10/31/2020,Asia,OMN,Oman,October
346,10/31/2020,Asia,MNG,Mongolia,October
24,10/31/2020,Asia,LAO,Laos,October
5683,10/31/2020,Asia,SYR,Syria,October
51496,10/31/2020,Asia,MMR,Myanmar,October
348,10/31/2020,Asia,BTN,Bhutan,October
41425,10/31/2020,Asia,AFG,Afghanistan,October
555,10/31/2020,Asia,TWN,Taiwan,October
100392,10/31/2020,Asia,JPN,Japan,October
10424,10/31/2020,Asia,LKA,Sri Lanka,October
470633,10/31/2020,Asia,IRQ,Iraq,October
69306,10/31/2020,Asia,JOR,Jordan,October
373154,10/31/2020,Asia,TUR,Turkey,October
11643,10/31/2020,Asia,MDV,Maldives,October
8137119,10/31/2020,Asia,IND,India,October
406945,10/31/2020,Asia,IDN,Indonesia,October
406364,10/31/2020,Asia,BGD,Bangladesh,October
64742,10/31/2020,Asia,PSE,Palestine,October
131508,10/31/2020,Asia,ARE,United Arab Emirates,October
604952,10/31/2020,Asia,IRN,Iran,October
132343,10/31/2020,Asia,QAT,Qatar,October
148,10/31/2020,Asia,BRN,Brunei Darussalam,October
79529,10/31/2020,Asia,LBN,Lebanon,October
30899,10/31/2020,Asia,MYS,Malaysia,October
313701,10/31/2020,Asia,ISR,Israel,October
66628,10/31/2020,Asia,UZB,Uzbekistan,October
378933,10/31/2020,Asia,PHL,Philippines,October
3780,10/31/2020,Asia,THA,Thailand,October
2064,10/31/2020,Asia,YEM,Yemen,October
346880,10/31/2020,Asia,SAU,Saudi Arabia,October
290,10/31/2020,Asia,KHM,Cambodia,October
30,10/31/2020,Asia,TLS,Timor Leste,October
26511,10/31/2020,Asia,KOR,South Korea,October
168235,10/31/2020,Asia,NPL,Nepal,October
332993,10/31/2020,Asia,PAK,Pakistan,October
1177,10/31/2020,Asia,VNM,Vietnam,October
91299,10/31/2020,Asia,CHN,China,October
81466,10/31/2020,Asia,BHR,Bahrain,October
58878,10/31/2020,Asia,KGZ,Kyrgyzstan,October
58003,10/31/2020,Asia,SGP,Singapore,October
149699,10/31/2020,Asia,KAZ,Kazakhstan,October
332186,10/30/2020,Asia,PAK,Pakistan,October
65385,10/30/2020,Asia,JOR,Jordan,October
404048,10/30/2020,Asia,IDN,Indonesia,October
404760,10/30/2020,Asia,BGD,Bangladesh,October
148,10/30/2020,Asia,BRN,Brunei Darussalam,October
10939,10/30/2020,Asia,TJK,Tajikistan,October
99622,10/30/2020,Asia,JPN,Japan,October
554,10/30/2020,Asia,TWN,Taiwan,October
26385,10/30/2020,Asia,KOR,South Korea,October
124666,10/30/2020,Asia,KWT,Kuwait,October
66542,10/30/2020,Asia,UZB,Uzbekistan,October
24,10/30/2020,Asia,LAO,Laos,October
9791,10/30/2020,Asia,LKA,Sri Lanka,October
8088851,10/30/2020,Asia,IND,India,October
132150,10/30/2020,Asia,QAT,Qatar,October
30090,10/30/2020,Asia,MYS,Malaysia,October
58394,10/30/2020,Asia,KGZ,Kyrgyzstan,October
41268,10/30/2020,Asia,AFG,Afghanistan,October
57994,10/30/2020,Asia,SGP,Singapore,October
370832,10/30/2020,Asia,TUR,Turkey,October
5633,10/30/2020,Asia,SYR,Syria,October
64237,10/30/2020,Asia,PSE,Palestine,October
313590,10/30/2020,Asia,ISR,Israel,October
467755,10/30/2020,Asia,IRQ,Iraq,October
346,10/30/2020,Asia,BTN,Bhutan,October
50403,10/30/2020,Asia,MMR,Myanmar,October
2064,10/30/2020,Asia,YEM,Yemen,October
114434,10/30/2020,Asia,OMN,Oman,October
596941,10/30/2020,Asia,IRN,Iran,October
164718,10/30/2020,Asia,NPL,Nepal,October
149066,10/30/2020,Asia,KAZ,Kazakhstan,October
340,10/30/2020,Asia,MNG,Mongolia,October
1177,10/30/2020,Asia,VNM,Vietnam,October
376935,10/30/2020,Asia,PHL,Philippines,October
346482,10/30/2020,Asia,SAU,Saudi Arabia,October
91266,10/30/2020,Asia,CHN,China,October
30,10/30/2020,Asia,TLS,Timor Leste,October
130336,10/30/2020,Asia,ARE,United Arab Emirates,October
81262,10/30/2020,Asia,BHR,Bahrain,October
290,10/30/2020,Asia,KHM,Cambodia,October
77778,10/30/2020,Asia,LBN,Lebanon,October
11616,10/30/2020,Asia,MDV,Maldives,October
3775,10/30/2020,Asia,THA,Thailand,October
81022,10/29/2020,Asia,BHR,Bahrain,October
463951,10/29/2020,Asia,IRQ,Iraq,October
346047,10/29/2020,Asia,SAU,Saudi Arabia,October
75845,10/29/2020,Asia,LBN,Lebanon,October
148,10/29/2020,Asia,BRN,Brunei Darussalam,October
26271,10/29/2020,Asia,KOR,South Korea,October
375180,10/29/2020,Asia,PHL,Philippines,October
340,10/29/2020,Asia,MNG,Mongolia,October
10900,10/29/2020,Asia,TJK,Tajikistan,October
91241,10/29/2020,Asia,CHN,China,October
3763,10/29/2020,Asia,THA,Thailand,October
346,10/29/2020,Asia,BTN,Bhutan,October
9205,10/29/2020,Asia,LKA,Sri Lanka,October
24,10/29/2020,Asia,LAO,Laos,October
148479,10/29/2020,Asia,KAZ,Kazakhstan,October
588648,10/29/2020,Asia,IRN,Iran,October
66313,10/29/2020,Asia,UZB,Uzbekistan,October
63614,10/29/2020,Asia,PSE,Palestine,October
131939,10/29/2020,Asia,QAT,Qatar,October
57987,10/29/2020,Asia,SGP,Singapore,October
5580,10/29/2020,Asia,SYR,Syria,October
29411,10/29/2020,Asia,MYS,Malaysia,October
403079,10/29/2020,Asia,BGD,Bangladesh,October
123906,10/29/2020,Asia,KWT,Kuwait,October
57798,10/29/2020,Asia,KGZ,Kyrgyzstan,October
331108,10/29/2020,Asia,PAK,Pakistan,October
400483,10/29/2020,Asia,IDN,Indonesia,October
368513,10/29/2020,Asia,TUR,Turkey,October
290,10/29/2020,Asia,KHM,Cambodia,October
