Positive Cases,Country Name,Death Count
10977,Tajikistan,82
125337,Kuwait,773
114434,Oman,1208
346,Mongolia,0
24,Laos,0
5683,Syria,285
51496,Myanmar,1219
348,Bhutan,0
41425,Afghanistan,1536
555,Taiwan,7
100392,Japan,1755
10424,Sri Lanka,19
470633,Iraq,10862
69306,Jordan,772
373154,Turkey,10177
11643,Maldives,37
8137119,India,121641
406945,Indonesia,13782
406364,Bangladesh,5905
64742,Palestine,552
131508,United Arab Emirates,490
604952,Iran,34478
132343,Qatar,232
148,Brunei Darussalam,3
79529,Lebanon,625
30899,Malaysia,249
313701,Israel,2514
66628,Uzbekistan,563
378933,Philippines,7185
3780,Thailand,59
2064,Yemen,600
346880,Saudi Arabia,5383
290,Cambodia,0
30,Timor Leste,0
26511,South Korea,464
168235,Nepal,920
332993,Pakistan,6806
1177,Vietnam,35
91299,China,4739
81466,Bahrain,319
58878,Kyrgyzstan,1145
58003,Singapore,28
149699,Kazakhstan,2226
